#Convert the frequency to wavelength by SGJY.
#wavelength RSR
2.001000e+01 2.514536e-10
2.002000e+01 2.700292e-10
2.003000e+01 2.899789e-10
2.004010e+01 3.182648e-10
2.005010e+01 3.503171e-10
2.006020e+01 3.825533e-10
2.007020e+01 3.985385e-10
2.008030e+01 3.758336e-10
2.009040e+01 3.402841e-10
2.010050e+01 3.299050e-10
2.011060e+01 3.224413e-10
2.012070e+01 3.075877e-10
2.013080e+01 2.913994e-10
2.014100e+01 2.863113e-10
2.015110e+01 2.926097e-10
2.016130e+01 2.802125e-10
2.017150e+01 2.619737e-10
2.018160e+01 2.570574e-10
2.019180e+01 2.583820e-10
2.020200e+01 2.539107e-10
2.021220e+01 2.400639e-10
2.022240e+01 2.646055e-10
2.023270e+01 3.404407e-10
2.024290e+01 4.063962e-10
2.025320e+01 4.425945e-10
2.026340e+01 4.666154e-10
2.027370e+01 5.052597e-10
2.028400e+01 5.462768e-10
2.029430e+01 5.400335e-10
2.030460e+01 5.125861e-10
2.031490e+01 4.871647e-10
2.032520e+01 4.570602e-10
2.033550e+01 4.252044e-10
2.034590e+01 3.979971e-10
2.035620e+01 3.703633e-10
2.036660e+01 3.607999e-10
2.037700e+01 3.792417e-10
2.038740e+01 4.058751e-10
2.039780e+01 4.114430e-10
2.040820e+01 3.701026e-10
2.041860e+01 3.326012e-10
2.042900e+01 3.671556e-10
2.043940e+01 4.285794e-10
2.044990e+01 4.752139e-10
2.046040e+01 4.877270e-10
2.047080e+01 4.843404e-10
2.048130e+01 4.938084e-10
2.049180e+01 5.208697e-10
2.050230e+01 5.397240e-10
2.051280e+01 5.223728e-10
2.052330e+01 4.890545e-10
2.053390e+01 4.576938e-10
2.054440e+01 4.305646e-10
2.055500e+01 4.138161e-10
2.056560e+01 3.938245e-10
2.057610e+01 3.403733e-10
2.058670e+01 2.836924e-10
2.059730e+01 2.712865e-10
2.060790e+01 2.849158e-10
2.061860e+01 2.995784e-10
2.062920e+01 2.993875e-10
2.063980e+01 2.810715e-10
2.065050e+01 2.586731e-10
2.066120e+01 2.562300e-10
2.067180e+01 2.628944e-10
2.068250e+01 2.615103e-10
2.069320e+01 2.765407e-10
2.070390e+01 3.052672e-10
2.071470e+01 3.131801e-10
2.072540e+01 3.029023e-10
2.073610e+01 2.779274e-10
2.074690e+01 2.668201e-10
2.075770e+01 2.732764e-10
2.076840e+01 2.799358e-10
2.077920e+01 2.387535e-10
2.079000e+01 1.725439e-10
2.080080e+01 1.303253e-10
2.081170e+01 1.235370e-10
2.082250e+01 1.351847e-10
2.083330e+01 1.375865e-10
2.084420e+01 1.364092e-10
2.085510e+01 1.515614e-10
2.086590e+01 1.825674e-10
2.087680e+01 2.304145e-10
2.088770e+01 2.905658e-10
2.089860e+01 3.086334e-10
2.090960e+01 2.751761e-10
2.092050e+01 2.577762e-10
2.093140e+01 2.493443e-10
2.094240e+01 2.225336e-10
2.095340e+01 1.949813e-10
2.096440e+01 1.717374e-10
2.097540e+01 1.401345e-10
2.098640e+01 9.583182e-11
2.099740e+01 5.653596e-11
2.100840e+01 6.229742e-11
2.101940e+01 8.333426e-11
2.103050e+01 7.568869e-11
2.104160e+01 4.732862e-11
2.105260e+01 2.373670e-11
2.106370e+01 3.154137e-11
2.107480e+01 6.126749e-11
2.108590e+01 9.072599e-11
2.109700e+01 9.768344e-11
2.110820e+01 9.030160e-11
2.111930e+01 8.785364e-11
2.113050e+01 1.003224e-10
2.114160e+01 1.196719e-10
2.115280e+01 1.283319e-10
2.116400e+01 1.344622e-10
2.117520e+01 1.413847e-10
2.118640e+01 1.374568e-10
2.119770e+01 1.324824e-10
2.120890e+01 1.371365e-10
2.122020e+01 1.345026e-10
2.123140e+01 1.292500e-10
2.124270e+01 1.311642e-10
2.125400e+01 1.343344e-10
2.126530e+01 1.316757e-10
2.127660e+01 1.253877e-10
2.128790e+01 1.097921e-10
2.129930e+01 9.054084e-11
2.131060e+01 8.007319e-11
2.132200e+01 7.692228e-11
2.133330e+01 7.037621e-11
2.134470e+01 6.910299e-11
2.135610e+01 7.627655e-11
2.136750e+01 8.072989e-11
2.137890e+01 7.635616e-11
2.139040e+01 6.581128e-11
2.140180e+01 6.876401e-11
2.141330e+01 8.560765e-11
2.142470e+01 9.427407e-11
2.143620e+01 8.767277e-11
2.144770e+01 7.090151e-11
2.145920e+01 5.404827e-11
2.147070e+01 3.876356e-11
2.148230e+01 2.741424e-11
2.149380e+01 2.474694e-11
2.150540e+01 2.479127e-11
2.151690e+01 1.937402e-11
2.152850e+01 1.580405e-11
2.154010e+01 1.525356e-11
2.155170e+01 1.186861e-11
2.156330e+01 8.845650e-12
2.157500e+01 8.532642e-12
2.158660e+01 7.502497e-12
2.159830e+01 6.129122e-12
2.160990e+01 5.765867e-12
2.162160e+01 5.170473e-12
2.163330e+01 5.124057e-12
2.164500e+01 6.654456e-12
2.165670e+01 8.981250e-12
2.166850e+01 1.031839e-11
2.168020e+01 9.932092e-12
2.169200e+01 9.088844e-12
2.170370e+01 1.059040e-11
2.171550e+01 1.538727e-11
2.172730e+01 2.332909e-11
2.173910e+01 2.913459e-11
2.175100e+01 2.911090e-11
2.176280e+01 2.905189e-11
2.177460e+01 2.694875e-11
2.178650e+01 2.184452e-11
2.179840e+01 1.588407e-11
2.181030e+01 1.124351e-11
2.182210e+01 9.820482e-12
2.183410e+01 8.139601e-12
2.184600e+01 1.009945e-11
2.185790e+01 2.057315e-11
2.186990e+01 2.450135e-11
2.188180e+01 1.421628e-11
2.189380e+01 1.556302e-11
2.190580e+01 1.844366e-11
2.191780e+01 1.376220e-11
2.192980e+01 2.213554e-11
2.194190e+01 2.852131e-11
2.195390e+01 2.220474e-11
2.196600e+01 1.912905e-11
2.197800e+01 1.850061e-11
2.199010e+01 1.043207e-11
2.200220e+01 4.617101e-12
2.201430e+01 4.854488e-12
2.202640e+01 2.625873e-12
