# The bandpass is created by SGJY at KIAA-PKU on 2018-05-05 14:56:04.098818.
# The bandpass is for Herschel/SPIRE 350 micron of extended source. 
# The wavelength is in the units micron.
# Wavelength  RSR
2.522068e+02 1.057700e-05
2.534854e+02 1.517600e-05
2.541296e+02 2.016200e-05
2.547122e+02 2.220500e-05
2.553626e+02 2.733300e-05
2.560164e+02 2.896200e-05
2.566735e+02 3.043100e-05
2.573340e+02 4.160600e-05
2.579314e+02 5.105500e-05
2.585984e+02 5.455000e-05
2.592689e+02 5.734700e-05
2.599428e+02 6.847500e-05
2.605524e+02 7.586200e-05
2.612330e+02 9.220900e-05
2.619172e+02 1.115500e-04
2.626050e+02 1.321700e-04
2.632965e+02 1.584100e-04
2.639219e+02 1.969200e-04
2.646203e+02 2.367700e-04
2.653224e+02 2.996900e-04
2.660282e+02 3.695000e-04
2.666667e+02 4.548600e-04
2.673797e+02 5.662300e-04
2.680965e+02 7.177500e-04
2.688172e+02 8.895500e-04
2.695418e+02 1.108600e-03
2.701972e+02 1.366700e-03
2.709293e+02 1.605400e-03
2.716653e+02 1.858100e-03
2.724053e+02 2.148200e-03
2.731494e+02 2.458100e-03
2.738226e+02 2.815700e-03
2.745744e+02 3.287600e-03
2.753304e+02 3.785000e-03
2.760906e+02 4.295500e-03
2.767783e+02 4.911200e-03
2.775465e+02 5.626100e-03
2.783189e+02 6.302300e-03
2.790957e+02 6.996500e-03
2.798768e+02 7.782000e-03
2.805836e+02 8.748400e-03
2.813731e+02 9.525600e-03
2.821670e+02 1.069600e-02
2.829655e+02 1.214700e-02
2.837684e+02 1.336300e-02
2.844950e+02 1.603500e-02
2.853067e+02 2.092800e-02
2.861230e+02 2.333500e-02
2.869441e+02 3.016800e-02
2.876870e+02 3.653400e-02
2.885170e+02 4.507400e-02
2.893519e+02 5.405700e-02
2.901915e+02 6.459700e-02
2.910361e+02 7.540100e-02
2.918004e+02 8.910300e-02
2.926544e+02 1.094300e-01
2.935134e+02 1.379800e-01
2.943774e+02 1.740000e-01
2.952465e+02 2.171300e-01
2.960332e+02 2.631600e-01
2.969121e+02 3.089800e-01
2.977963e+02 3.421100e-01
2.986858e+02 3.653100e-01
2.994909e+02 3.849500e-01
3.003905e+02 4.047400e-01
3.012956e+02 4.201200e-01
3.022061e+02 4.311000e-01
3.031222e+02 4.476200e-01
3.039514e+02 4.527500e-01
3.048780e+02 4.515800e-01
3.058104e+02 4.516400e-01
3.067485e+02 4.550400e-01
3.076923e+02 4.636400e-01
3.085467e+02 4.595500e-01
3.095017e+02 4.794600e-01
3.104626e+02 4.973500e-01
3.114295e+02 5.087600e-01
3.123048e+02 5.139100e-01
3.132832e+02 5.258700e-01
3.142678e+02 5.365500e-01
3.152585e+02 5.318600e-01
3.162555e+02 5.305500e-01
3.171583e+02 5.282100e-01
3.181674e+02 5.179500e-01
3.191829e+02 5.185400e-01
3.202049e+02 5.276800e-01
3.211304e+02 5.594300e-01
3.221649e+02 5.940000e-01
3.232062e+02 6.341200e-01
3.242542e+02 6.490100e-01
3.253090e+02 6.627800e-01
3.262643e+02 6.441700e-01
3.273322e+02 6.414700e-01
3.284072e+02 6.267300e-01
3.294893e+02 6.219200e-01
3.305785e+02 6.338300e-01
3.315650e+02 6.531500e-01
3.326680e+02 6.641600e-01
3.337784e+02 6.884400e-01
3.348962e+02 7.009200e-01
3.359086e+02 7.085600e-01
3.370408e+02 7.135900e-01
3.381806e+02 7.162600e-01
3.393281e+02 7.111400e-01
3.404835e+02 7.148300e-01
3.415301e+02 7.202700e-01
3.427005e+02 7.301800e-01
3.438789e+02 7.558700e-01
3.450656e+02 7.664000e-01
3.462604e+02 7.577100e-01
3.473428e+02 7.378800e-01
3.485535e+02 7.396500e-01
3.497726e+02 7.274000e-01
3.510004e+02 7.371800e-01
3.521127e+02 7.734600e-01
3.533569e+02 8.217400e-01
3.546099e+02 8.705500e-01
3.558719e+02 8.823900e-01
3.571429e+02 8.968000e-01
3.582945e+02 8.864400e-01
3.595829e+02 8.473500e-01
3.608806e+02 8.307200e-01
3.621876e+02 8.281400e-01
3.635042e+02 8.328500e-01
3.646973e+02 8.550500e-01
3.660322e+02 8.678800e-01
3.673769e+02 9.026600e-01
3.687316e+02 9.144800e-01
3.699593e+02 9.318500e-01
3.713331e+02 9.506000e-01
3.727171e+02 9.725400e-01
3.741115e+02 9.669000e-01
3.755163e+02 9.581700e-01
3.767898e+02 9.553600e-01
3.782148e+02 9.584600e-01
3.796507e+02 9.627000e-01
3.810976e+02 9.660100e-01
3.825555e+02 9.735800e-01
3.838772e+02 1.000000e+00
3.853564e+02 9.859000e-01
3.868472e+02 9.699000e-01
3.883495e+02 9.517600e-01
3.897116e+02 9.479700e-01
3.912363e+02 9.414300e-01
3.927730e+02 9.514200e-01
3.943218e+02 9.298600e-01
3.958828e+02 9.054900e-01
3.972984e+02 8.380100e-01
3.988831e+02 7.843300e-01
4.004806e+02 6.908300e-01
4.020909e+02 6.141600e-01
4.037142e+02 5.273400e-01
4.051864e+02 4.692500e-01
4.068348e+02 3.938600e-01
4.084967e+02 3.452700e-01
4.101723e+02 3.041000e-01
4.116920e+02 2.639100e-01
4.133940e+02 2.196900e-01
4.151100e+02 1.834100e-01
4.168404e+02 9.027500e-02
4.185852e+02 4.257200e-02
4.201681e+02 2.521000e-02
4.219409e+02 1.671000e-02
4.237288e+02 1.191000e-02
4.255319e+02 8.553400e-03
4.271679e+02 6.537600e-03
4.290004e+02 5.207000e-03
4.308488e+02 4.105300e-03
4.327131e+02 3.209400e-03
4.345937e+02 2.615100e-03
4.363002e+02 2.131400e-03
4.382121e+02 1.783400e-03
4.401409e+02 1.577500e-03
4.420867e+02 1.433300e-03
4.440497e+02 1.269200e-03
4.458315e+02 1.107700e-03
4.478280e+02 9.718700e-04
4.498426e+02 8.243300e-04
4.518753e+02 7.243000e-04
4.537205e+02 6.488900e-04
4.557885e+02 6.129700e-04
4.578755e+02 5.975900e-04
4.599816e+02 5.918000e-04
4.621072e+02 5.711300e-04
4.640371e+02 5.406800e-04
4.662005e+02 5.191300e-04
4.683841e+02 4.805400e-04
4.705882e+02 4.407100e-04
4.728132e+02 3.896500e-04
