#wavelength response
15.5 0.0000000000
16.0 0.0070000000
16.5 0.1010000000
17.0 0.2880000000
17.5 0.3880000000
18.0 0.4520000000
18.5 0.5210000000
19.0 0.5620000000
19.5 0.6260000000
20.0 0.6830000000
20.5 0.7290000000
21.0 0.7780000000
21.5 0.8320000000
22.0 0.9120000000
22.5 0.9140000000
23.0 0.9380000000
23.5 0.9330000000
24.0 0.8750000000
24.5 0.9100000000
25.0 1.0000000000
25.5 0.9110000000
26.0 0.8400000000
26.5 0.7630000000
27.0 0.7490000000
27.5 0.8290000000
28.0 0.9140000000
28.5 0.7900000000
29.0 0.8770000000
29.5 0.5580000000
30.0 0.2740000000
30.5 0.0690000000
31.0 0.0120000000
31.5 0.0000000000
