#Convert the frequency to wavelength by SGJY.
#wavelength RSR
2.001000e+01 5.676349e-11
2.002000e+01 5.843609e-11
2.003000e+01 6.175105e-11
2.004010e+01 6.537492e-11
2.005010e+01 6.832980e-11
2.006020e+01 6.884585e-11
2.007020e+01 6.259088e-11
2.008030e+01 5.450177e-11
2.009040e+01 5.098718e-11
2.010050e+01 4.850723e-11
2.011060e+01 4.482283e-11
2.012070e+01 4.115271e-11
2.013080e+01 3.933152e-11
2.014100e+01 3.927266e-11
2.015110e+01 3.738272e-11
2.016130e+01 3.435053e-11
2.017150e+01 3.319897e-11
2.018160e+01 3.299524e-11
2.019180e+01 3.201745e-11
2.020200e+01 2.989799e-11
2.021220e+01 3.246922e-11
2.022240e+01 4.113429e-11
2.023270e+01 4.822508e-11
2.024290e+01 5.144590e-11
2.025320e+01 5.235735e-11
2.026340e+01 5.550960e-11
2.027370e+01 5.863701e-11
2.028400e+01 5.648070e-11
2.029430e+01 5.210868e-11
2.030460e+01 4.852052e-11
2.031490e+01 4.406659e-11
2.032520e+01 3.961041e-11
2.033550e+01 3.590662e-11
2.034590e+01 3.240586e-11
2.035620e+01 3.003645e-11
2.036660e+01 3.079803e-11
2.037700e+01 3.221699e-11
2.038740e+01 3.183356e-11
2.039780e+01 2.798055e-11
2.040820e+01 2.496259e-11
2.041860e+01 2.698209e-11
2.042900e+01 3.096264e-11
2.043940e+01 3.385962e-11
2.044990e+01 3.438034e-11
2.046040e+01 3.406363e-11
2.047080e+01 3.441957e-11
2.048130e+01 3.610238e-11
2.049180e+01 3.721226e-11
2.050230e+01 3.584863e-11
2.051280e+01 3.334953e-11
2.052330e+01 3.094908e-11
2.053390e+01 2.893551e-11
2.054440e+01 2.762653e-11
2.055500e+01 2.601241e-11
2.056560e+01 2.207927e-11
2.057610e+01 1.814089e-11
2.058670e+01 1.716865e-11
2.059730e+01 1.789982e-11
2.060790e+01 1.870349e-11
2.061860e+01 1.861909e-11
2.062920e+01 1.757490e-11
2.063980e+01 1.634234e-11
2.065050e+01 1.640823e-11
2.066120e+01 1.704714e-11
2.067180e+01 1.699316e-11
2.068250e+01 1.816651e-11
2.069320e+01 2.027435e-11
2.070390e+01 2.107490e-11
2.071470e+01 2.073885e-11
2.072540e+01 2.017399e-11
2.073610e+01 1.976855e-11
2.074690e+01 2.069873e-11
2.075770e+01 2.169608e-11
2.076840e+01 1.888765e-11
2.077920e+01 1.327058e-11
2.079000e+01 1.019557e-11
2.080080e+01 9.862525e-12
2.081170e+01 1.103911e-11
2.082250e+01 1.147623e-11
2.083330e+01 1.170986e-11
2.084420e+01 1.325618e-11
2.085510e+01 1.632419e-11
2.086590e+01 2.107645e-11
2.087680e+01 2.706779e-11
2.088770e+01 2.920665e-11
2.089860e+01 2.651420e-11
2.090960e+01 2.521914e-11
2.092050e+01 2.479466e-11
2.093140e+01 2.260279e-11
2.094240e+01 2.044242e-11
2.095340e+01 1.854300e-11
2.096440e+01 1.563889e-11
2.097540e+01 1.105012e-11
2.098640e+01 6.687496e-12
2.099740e+01 7.479586e-12
2.100840e+01 1.012735e-11
