#Wavelength RSR
0.36300 0.0
0.36550 0.0003
0.36800 0.0008
0.37050 0.0013
0.37300 0.0019
0.37550 0.0024
0.37800 0.0034
0.38050 0.0055
0.38300 0.0103
0.38550 0.0194
0.38800 0.0326
0.39050 0.0492
0.39300 0.0686
0.39550 0.09
0.39800 0.1123
0.40050 0.1342
0.40300 0.1545
0.40550 0.1722
0.40800 0.1873
0.41050 0.2003
0.41300 0.2116
0.41550 0.2214
0.41800 0.2301
0.42050 0.2378
0.42300 0.2448
0.42550 0.2513
0.42800 0.2574
0.43050 0.2633
0.43300 0.2691
0.43550 0.2747
0.43800 0.2801
0.44050 0.2852
0.44300 0.2899
0.44550 0.294
0.44800 0.2979
0.45050 0.3016
0.45300 0.3055
0.45550 0.3097
0.45800 0.3141
0.46050 0.3184
0.46300 0.3224
0.46550 0.3257
0.46800 0.3284
0.47050 0.3307
0.47300 0.3327
0.47550 0.3346
0.47800 0.3364
0.48050 0.3383
0.48300 0.3403
0.48550 0.3425
0.48800 0.3448
0.49050 0.3472
0.49300 0.3495
0.49550 0.3519
0.49800 0.3541
0.50050 0.3562
0.50300 0.3581
0.50550 0.3597
0.50800 0.3609
0.51050 0.3613
0.51300 0.3609
0.51550 0.3595
0.51800 0.3581
0.52050 0.3558
0.52300 0.3452
0.52550 0.3194
0.52800 0.2807
0.53050 0.2339
0.53300 0.1839
0.53550 0.1352
0.53800 0.0911
0.54050 0.0548
0.54300 0.0295
0.54550 0.0166
0.54800 0.0112
0.55050 0.0077
0.55300 0.005
0.55550 0.0032
0.55800 0.0021
0.56050 0.0015
0.56300 0.0012
0.56550 0.001
0.56800 0.0009
0.57050 0.0008
0.57300 0.0006
0.57550 0.0005
0.57800 0.0003
0.58050 0.0001
0.58300 0.0
