#Wavelength RSR
0.64300 0.0
0.64550 0.0001
0.64800 0.0003
0.65050 0.0004
0.65300 0.0004
0.65550 0.0003
0.65800 0.0003
0.66050 0.0004
0.66300 0.0009
0.66550 0.0019
0.66800 0.0034
0.67050 0.0056
0.67300 0.0103
0.67550 0.0194
0.67800 0.0344
0.68050 0.0561
0.68300 0.0839
0.68550 0.1164
0.68800 0.1528
0.69050 0.1948
0.69300 0.2408
0.69550 0.2857
0.69800 0.3233
0.70050 0.3503
0.70300 0.3759
0.70550 0.399
0.70800 0.4162
0.71050 0.4233
0.71300 0.4165
0.71550 0.3943
0.71800 0.376
0.72050 0.3823
0.72300 0.3918
0.72550 0.3892
0.72800 0.3828
0.73050 0.382
0.73300 0.3884
0.73550 0.3872
0.73800 0.3821
0.74050 0.3787
0.74300 0.3759
0.74550 0.3727
0.74800 0.3681
0.75050 0.3618
0.75300 0.3565
0.75550 0.3554
0.75800 0.3478
0.76050 0.1473
0.76300 0.2096
0.76550 0.2648
0.76800 0.33
0.77050 0.3256
0.77300 0.3223
0.77550 0.3179
0.77800 0.3129
0.78050 0.3077
0.78300 0.3026
0.78550 0.298
0.78800 0.2944
0.79050 0.2921
0.79300 0.2916
0.79550 0.2921
0.79800 0.2927
0.80050 0.2923
0.80300 0.2896
0.80550 0.284
0.80800 0.2758
0.81050 0.2642
0.81300 0.2427
0.81550 0.2091
0.81800 0.1689
0.82050 0.1276
0.82300 0.0901
0.82550 0.0603
0.82800 0.0378
0.83050 0.0218
0.83300 0.0117
0.83550 0.0068
0.83800 0.0048
0.84050 0.0033
0.84300 0.002
0.84550 0.0013
0.84800 0.001
0.85050 0.0009
0.85300 0.0009
0.85550 0.0008
0.85800 0.0005
0.86050 0.0002
0.86300 0.0
