#Wavelength RSR
0.53800 0.0
0.54050 0.0014
0.54300 0.0099
0.54550 0.0259
0.54800 0.0497
0.55050 0.0807
0.55300 0.1186
0.55550 0.1625
0.55800 0.2093
0.56050 0.2555
0.56300 0.2975
0.56550 0.3326
0.56800 0.3609
0.57050 0.3834
0.57300 0.401
0.57550 0.4147
0.57800 0.4253
0.58050 0.4333
0.58300 0.4395
0.58550 0.4446
0.58800 0.4489
0.59050 0.4527
0.59300 0.4563
0.59550 0.4599
0.59800 0.4634
0.60050 0.4665
0.60300 0.4689
0.60550 0.4703
0.60800 0.4711
0.61050 0.4717
0.61300 0.4727
0.61550 0.4744
0.61800 0.4767
0.62050 0.4792
0.62300 0.4819
0.62550 0.4844
0.62800 0.4867
0.63050 0.4887
0.63300 0.4902
0.63550 0.4909
0.63800 0.4912
0.64050 0.4912
0.64300 0.4912
0.64550 0.4914
0.64800 0.4915
0.65050 0.4912
0.65300 0.4901
0.65550 0.4878
0.65800 0.4852
0.66050 0.4818
0.66300 0.4697
0.66550 0.4421
0.66800 0.4009
0.67050 0.3499
0.67300 0.2924
0.67550 0.2318
0.67800 0.1715
0.68050 0.1152
0.68300 0.0687
0.68550 0.038
0.68800 0.0212
0.69050 0.0134
0.69300 0.0099
0.69550 0.0076
0.69800 0.0055
0.70050 0.0039
0.70300 0.0027
0.70550 0.002
0.70800 0.0015
0.71050 0.0012
0.71300 0.001
0.71550 0.0007
0.71800 0.0004
0.72050 0.0002
0.72300 0.0
