#Wavelength RSR
0.29800 0.0
0.30050 0.0001
0.30300 0.0005
0.30550 0.0013
0.30800 0.0026
0.31050 0.0052
0.31300 0.0093
0.31550 0.0161
0.31800 0.024
0.32050 0.0323
0.32300 0.0405
0.32550 0.0485
0.32800 0.0561
0.33050 0.0634
0.33300 0.07
0.33550 0.0756
0.33800 0.0803
0.34050 0.0848
0.34300 0.0883
0.34550 0.0917
0.34800 0.0959
0.35050 0.1001
0.35300 0.1029
0.35550 0.1044
0.35800 0.1053
0.36050 0.1063
0.36300 0.1075
0.36550 0.1085
0.36800 0.1084
0.37050 0.1064
0.37300 0.1024
0.37550 0.0966
0.37800 0.0887
0.38050 0.0787
0.38300 0.0672
0.38550 0.0549
0.38800 0.0413
0.39050 0.0268
0.39300 0.0145
0.39550 0.0075
0.39800 0.0042
0.40050 0.0022
0.40300 0.001
0.40550 0.0006
0.40800 0.0004
0.41050 0.0002
0.41300 0.0
