#Wavelength RSR
0.77300 0.0
0.77550 0.0
0.77800 0.0001
0.78050 0.0001
0.78300 0.0001
0.78550 0.0002
0.78800 0.0002
0.79050 0.0003
0.79300 0.0005
0.79550 0.0007
0.79800 0.0011
0.80050 0.0017
0.80300 0.0027
0.80550 0.004
0.80800 0.0057
0.81050 0.0079
0.81300 0.0106
0.81550 0.0139
0.81800 0.0178
0.82050 0.0222
0.82300 0.0271
0.82550 0.0324
0.82800 0.0382
0.83050 0.0446
0.83300 0.0511
0.83550 0.0564
0.83800 0.0603
0.84050 0.0637
0.84300 0.0667
0.84550 0.0694
0.84800 0.0717
0.85050 0.0736
0.85300 0.0752
0.85550 0.0765
0.85800 0.0775
0.86050 0.0782
0.86300 0.0786
0.86550 0.0787
0.86800 0.0785
0.87050 0.078
0.87300 0.0772
0.87550 0.0763
0.87800 0.0751
0.88050 0.0738
0.88300 0.0723
0.88550 0.0708
0.88800 0.0693
0.89050 0.0674
0.89300 0.0632
0.89550 0.0581
0.89800 0.0543
0.90050 0.0526
0.90300 0.0523
0.90550 0.0522
0.90800 0.0512
0.91050 0.0496
0.91300 0.0481
0.91550 0.0473
0.91800 0.0476
0.92050 0.0482
0.92300 0.0476
0.92550 0.0447
0.92800 0.0391
0.93050 0.0329
0.93300 0.0283
0.93550 0.0264
0.93800 0.0271
0.94050 0.0283
0.94300 0.0275
0.94550 0.0254
0.94800 0.0252
0.95050 0.0256
0.95300 0.0246
0.95550 0.0244
0.95800 0.0252
0.96050 0.0258
0.96300 0.0265
0.96550 0.0274
0.96800 0.0279
0.97050 0.0271
0.97300 0.0252
0.97550 0.0236
0.97800 0.0227
0.98050 0.0222
0.98300 0.0216
0.98550 0.0208
0.98800 0.0196
0.99050 0.0183
0.99300 0.0171
0.99550 0.016
0.99800 0.0149
1.00050 0.0138
1.00300 0.0128
1.00550 0.0118
1.00800 0.0108
1.01050 0.0099
1.01300 0.0091
1.01550 0.0083
1.01800 0.0075
1.02050 0.0068
1.02300 0.0061
1.02550 0.0055
1.02800 0.005
1.03050 0.0045
1.03300 0.0041
1.03550 0.0037
1.03800 0.0033
1.04050 0.003
1.04300 0.0027
1.04550 0.0025
1.04800 0.0023
1.05050 0.0021
1.05300 0.0019
1.05550 0.0018
1.05800 0.0017
1.06050 0.0016
1.06300 0.0015
1.06550 0.0014
1.06800 0.0013
1.07050 0.0012
1.07300 0.0011
1.07550 0.001
1.07800 0.0009
1.08050 0.0008
1.08300 0.0008
1.08550 0.0007
1.08800 0.0006
1.09050 0.0006
1.09300 0.0006
1.09550 0.0005
1.09800 0.0005
1.10050 0.0004
1.10300 0.0004
1.10550 0.0003
1.10800 0.0003
1.11050 0.0002
1.11300 0.0002
1.11550 0.0001
1.11800 0.0001
1.12050 0.0
1.12300 0.0
