#wavelength RSR
1.666667e+02 8.924266e-12
1.669449e+02 -5.375578e-11
1.672241e+02 -3.565796e-11
1.674761e+02 -5.742178e-11
1.677571e+02 6.485154e-11
1.680390e+02 1.835163e-10
1.683218e+02 3.532353e-11
1.685772e+02 3.853476e-11
1.688619e+02 -2.595846e-11
1.691475e+02 -2.205126e-12
1.694341e+02 -1.361415e-11
1.697217e+02 1.092429e-11
1.699813e+02 -1.357752e-11
1.702707e+02 -1.132355e-11
1.705611e+02 4.025637e-11
1.708526e+02 3.030480e-11
1.711450e+02 3.312300e-11
1.714090e+02 4.633560e-11
1.717033e+02 2.142320e-11
1.719986e+02 3.067080e-12
1.722950e+02 9.263460e-11
1.725626e+02 4.789720e-11
1.728608e+02 3.284240e-11
1.731602e+02 4.876340e-11
1.734605e+02 8.689032e-11
1.737619e+02 5.974319e-11
1.740341e+02 8.686594e-11
1.743375e+02 7.669948e-11
1.746420e+02 9.147376e-12
1.749475e+02 5.478186e-11
1.752541e+02 7.628502e-11
1.755310e+02 4.801641e-11
1.758396e+02 8.941365e-11
1.761494e+02 1.079270e-10
1.764602e+02 1.498140e-10
1.767409e+02 1.985340e-10
1.770538e+02 2.978010e-10
1.773679e+02 3.666180e-10
1.776830e+02 4.632054e-10
1.779993e+02 5.952366e-10
1.782849e+02 5.881722e-10
1.786033e+02 6.624702e-10
1.789229e+02 8.820756e-10
1.792436e+02 1.212375e-09
1.795655e+02 1.565062e-09
1.798561e+02 1.958153e-09
1.801802e+02 1.930162e-09
1.805054e+02 1.549241e-09
1.808318e+02 1.058547e-09
1.811266e+02 7.068336e-10
1.814553e+02 5.805090e-10
1.817851e+02 5.080975e-10
1.821162e+02 5.651968e-10
1.824485e+02 5.724928e-10
1.827485e+02 5.817344e-10
1.830831e+02 5.419712e-10
1.834189e+02 5.220288e-10
1.837560e+02 4.074816e-10
1.840943e+02 4.234112e-10
1.843998e+02 3.302656e-10
1.847404e+02 4.021312e-10
1.850824e+02 4.480920e-10
1.854256e+02 4.642515e-10
1.857355e+02 3.705750e-10
1.860811e+02 3.075165e-10
1.864280e+02 1.875960e-10
1.867762e+02 1.224720e-10
1.871257e+02 9.615510e-11
1.874414e+02 1.233225e-10
1.877934e+02 8.293590e-11
1.881468e+02 3.481752e-11
1.885014e+02 3.343356e-11
1.888574e+02 2.429214e-11
1.891790e+02 1.709312e-11
1.895375e+02 4.480874e-11
1.898975e+02 3.650498e-11
1.902588e+02 2.719360e-11
1.905851e+02 1.850136e-11
1.909490e+02 1.353610e-11
1.913143e+02 5.626890e-11
1.916810e+02 4.672476e-11
1.920492e+02 7.993670e-12
1.923817e+02 2.341090e-11
1.927525e+02 2.185826e-11
1.931248e+02 3.095576e-11
1.934985e+02 6.317304e-11
1.938360e+02 2.509697e-11
1.942125e+02 2.627358e-11
1.945904e+02 3.258118e-11
1.949698e+02 5.075856e-11
1.953507e+02 6.124236e-11
1.956947e+02 5.188572e-11
1.960784e+02 4.312296e-11
1.964637e+02 2.374308e-11
1.968504e+02 1.182064e-10
1.972387e+02 3.043332e-11
1.975894e+02 7.358052e-11
1.979806e+02 5.083128e-11
1.983733e+02 5.290859e-11
1.987676e+02 3.827971e-11
1.991239e+02 1.872206e-10
1.995211e+02 1.303036e-10
1.999200e+02 -2.562476e-11
2.003205e+02 8.107645e-11
2.007226e+02 1.220688e-10
2.010859e+02 1.364797e-10
2.014910e+02 -8.784594e-13
2.018978e+02 1.803179e-11
2.023063e+02 2.038850e-10
2.027164e+02 -1.130745e-10
2.030869e+02 1.070124e-10
2.035002e+02 8.679330e-10
2.039152e+02 2.662000e-10
2.043318e+02 -1.594780e-10
2.047083e+02 -8.373200e-10
2.051282e+02 2.318360e-09
2.055498e+02 -1.282600e-09
2.059732e+02 3.970356e-10
2.063983e+02 -1.259778e-10
2.067825e+02 7.078695e-10
2.072109e+02 -7.712211e-11
2.076412e+02 -1.111675e-10
2.080732e+02 1.435083e-10
2.085071e+02 8.706009e-11
2.088991e+02 -9.519666e-12
2.093364e+02 5.421156e-11
2.097755e+02 9.484008e-11
2.102165e+02 1.799920e-11
2.106150e+02 -1.935216e-11
2.110595e+02 1.148808e-11
2.115059e+02 3.452464e-11
2.119542e+02 1.471288e-11
2.124044e+02 -8.477392e-12
2.128112e+02 -3.188416e-11
2.132651e+02 -3.735000e-11
2.137209e+02 -2.085810e-11
2.141786e+02 -2.607890e-11
2.146383e+02 -1.704392e-11
2.150538e+02 -9.313678e-12
2.155172e+02 1.037480e-12
2.159827e+02 -6.195300e-12
2.164502e+02 -1.647030e-11
2.168727e+02 -1.969926e-11
2.173441e+02 -2.002476e-11
2.178175e+02 2.480832e-11
2.182929e+02 2.342600e-11
2.187705e+02 -6.260625e-12
2.192021e+02 3.305875e-11
2.196837e+02 6.203317e-12
2.201673e+02 2.417408e-11
2.206531e+02 -4.698567e-12
2.210922e+02 -1.032659e-11
2.215821e+02 -2.911384e-12
2.220742e+02 -1.645875e-11
2.225684e+02 -3.505356e-12
2.230649e+02 -3.829228e-11
2.235136e+02 1.879016e-11
2.240143e+02 1.163340e-12
2.245173e+02 6.576876e-12
2.250225e+02 3.770559e-12
2.255300e+02 7.354971e-12
2.259887e+02 7.798842e-12
