# The bandpass is included by SGJY in MPE on 2019-05-20.
# Wavelength RSR
1.44900 0.0041
1.44950 0.0042
1.45000 0.0035
1.45050 0.0022
1.45100 0.0028
1.45150 0.0049
1.45200 0.0045
1.45250 0.0053
1.45300 0.0043
1.45350 0.006
1.45400 0.0063
1.45450 0.0061
1.45500 0.0062
1.45550 0.005
1.45600 0.0072
1.45650 0.0077
1.45700 0.0075
1.45750 0.0077
1.45800 0.0084
1.45850 0.0091
1.45900 0.0096
1.45950 0.01
1.46000 0.0099
1.46050 0.0082
1.46100 0.0109
1.46150 0.0106
1.46200 0.0123
1.46250 0.0127
1.46300 0.0103
1.46350 0.0122
1.46400 0.0141
1.46450 0.0157
1.46500 0.0132
1.46550 0.0138
1.46600 0.0137
1.46650 0.0137
1.46700 0.0132
1.46750 0.0188
1.46800 0.0181
1.46850 0.0214
1.46900 0.0221
1.46950 0.016
1.47000 0.0235
1.47050 0.0186
1.47100 0.0164
1.47150 0.0264
1.47200 0.0276
1.47250 0.0176
1.47300 0.0303
1.47350 0.0311
1.47400 0.0322
1.47450 0.0375
1.47500 0.0395
1.47550 0.0383
1.47600 0.032
1.47650 0.0438
1.47700 0.0351
1.47750 0.0463
1.47800 0.0342
1.47850 0.0525
1.47900 0.0515
1.47950 0.0419
1.48000 0.0547
1.48050 0.0421
1.48100 0.0636
1.48150 0.0594
1.48200 0.0557
1.48250 0.0713
1.48300 0.0729
1.48350 0.0773
1.48400 0.0803
1.48450 0.0678
1.48500 0.0867
1.48550 0.0839
1.48600 0.0899
1.48650 0.0807
1.48700 0.0925
1.48750 0.0975
1.48800 0.0927
1.48850 0.1085
1.48900 0.1138
1.48950 0.109
1.49000 0.1213
1.49050 0.1275
1.49100 0.1303
1.49150 0.1059
1.49200 0.1325
1.49250 0.1379
1.49300 0.1398
1.49350 0.1481
1.49400 0.1476
1.49450 0.1535
1.49500 0.1473
1.49550 0.1585
1.49600 0.1619
1.49650 0.1504
1.49700 0.173
1.49750 0.1734
1.49800 0.1689
1.49850 0.1798
1.49900 0.1819
1.49950 0.1853
1.50000 0.1897
1.50050 0.1932
1.50100 0.1959
1.50150 0.1981
1.50200 0.196
1.50250 0.2011
1.50300 0.2011
1.50350 0.2015
1.50400 0.1925
1.50450 0.2035
1.50500 0.2092
1.50550 0.2143
1.50600 0.2155
1.50650 0.2183
1.50700 0.2189
1.50750 0.2198
1.50800 0.2217
1.50850 0.2151
1.50900 0.2137
1.50950 0.2258
1.51000 0.2262
1.51050 0.2269
1.51100 0.2265
1.51150 0.229
1.51200 0.2305
1.51250 0.2279
1.51300 0.2291
1.51350 0.2306
1.51400 0.2299
1.51450 0.2334
1.51500 0.2327
1.51550 0.2344
1.51600 0.2347
1.51650 0.2339
1.51700 0.2346
1.51750 0.2331
1.51800 0.2367
1.51850 0.2361
1.51900 0.2346
1.51950 0.2367
1.52000 0.2377
1.52050 0.2369
1.52100 0.2388
1.52150 0.2388
1.52200 0.2382
1.52250 0.2395
1.52300 0.2397
1.52350 0.2392
1.52400 0.2401
1.52450 0.2385
1.52500 0.2398
1.52550 0.24
1.52600 0.24
1.52650 0.24
1.52700 0.2405
1.52750 0.24
1.52800 0.2411
1.52850 0.2412
1.52900 0.2415
1.52950 0.2413
1.53000 0.2415
1.53050 0.2417
1.53100 0.242
1.53150 0.2413
1.53200 0.2421
1.53250 0.242
1.53300 0.2419
1.53350 0.2417
1.53400 0.2414
1.53450 0.2416
1.53500 0.2412
1.53550 0.2418
1.53600 0.2422
1.53650 0.2427
1.53700 0.2433
1.53750 0.2441
1.53800 0.2443
1.53850 0.244
1.53900 0.2439
1.53950 0.2439
1.54000 0.2437
1.54050 0.244
1.54100 0.2446
1.54150 0.2447
1.54200 0.2447
1.54250 0.2452
1.54300 0.2456
1.54350 0.2462
1.54400 0.2466
1.54450 0.2466
1.54500 0.247
1.54550 0.2473
1.54600 0.2475
1.54650 0.2478
1.54700 0.2481
1.54750 0.2483
1.54800 0.2485
1.54850 0.2487
1.54900 0.2489
1.54950 0.2491
1.55000 0.2494
1.55050 0.2496
1.55100 0.2497
1.55150 0.25
1.55200 0.2499
1.55250 0.2504
1.55300 0.2506
1.55350 0.2508
1.55400 0.251
1.55450 0.2512
1.55500 0.2514
1.55550 0.2516
1.55600 0.2518
1.55650 0.252
1.55700 0.2522
1.55750 0.2524
1.55800 0.2526
1.55850 0.2528
1.55900 0.253
1.55950 0.2532
1.56000 0.2534
1.56050 0.2536
1.56100 0.2537
1.56150 0.2539
1.56200 0.2541
1.56250 0.2542
1.56300 0.2545
1.56350 0.2546
1.56400 0.2548
1.56450 0.2549
1.56500 0.2552
1.56550 0.2553
1.56600 0.2554
1.56650 0.2556
1.56700 0.2556
1.56750 0.2556
1.56800 0.2552
1.56850 0.2545
1.56900 0.2531
1.56950 0.2511
1.57000 0.2486
1.57050 0.246
1.57100 0.2439
1.57150 0.2418
1.57200 0.2405
1.57250 0.2421
1.57300 0.2411
1.57350 0.2439
1.57400 0.2448
1.57450 0.2493
1.57500 0.2545
1.57550 0.2565
1.57600 0.2521
1.57650 0.2481
1.57700 0.2461
1.57750 0.2476
1.57800 0.249
1.57850 0.2501
1.57900 0.2486
1.57950 0.2476
1.58000 0.2472
1.58050 0.2495
1.58100 0.2507
1.58150 0.2511
1.58200 0.2533
1.58250 0.2546
1.58300 0.2549
1.58350 0.2564
1.58400 0.2572
1.58450 0.2577
1.58500 0.2585
1.58550 0.2589
1.58600 0.2593
1.58650 0.2593
1.58700 0.2593
1.58750 0.2595
1.58800 0.2595
1.58850 0.2596
1.58900 0.2597
1.58950 0.2598
1.59000 0.2598
1.59050 0.2599
1.59100 0.2599
1.59150 0.2599
1.59200 0.26
1.59250 0.2599
1.59300 0.2601
1.59350 0.2601
1.59400 0.2602
1.59450 0.2601
1.59500 0.2602
1.59550 0.2603
1.59600 0.2603
1.59650 0.2603
1.59700 0.2603
1.59750 0.2601
1.59800 0.2598
1.59850 0.2591
