# The bandpass is included by SGJY in MPE on 2019-05-20.
# Wavelength RSR
1.14800 0.0044
1.14850 0.0046
1.14900 0.0044
1.14950 0.0049
1.15000 0.0046
1.15050 0.0062
1.15100 0.0062
1.15150 0.0069
1.15200 0.0064
1.15250 0.007
1.15300 0.0087
1.15350 0.0095
1.15400 0.0091
1.15450 0.0104
1.15500 0.0117
1.15550 0.0128
1.15600 0.0138
1.15650 0.0149
1.15700 0.0172
1.15750 0.0182
1.15800 0.0187
1.15850 0.0216
1.15900 0.0211
1.15950 0.0255
1.16000 0.0277
1.16050 0.0283
1.16100 0.0332
1.16150 0.0352
1.16200 0.0392
1.16250 0.041
1.16300 0.0466
1.16350 0.0496
1.16400 0.0535
1.16450 0.0586
1.16500 0.0617
1.16550 0.067
1.16600 0.0708
1.16650 0.0775
1.16700 0.0824
1.16750 0.0893
1.16800 0.0947
1.16850 0.0989
1.16900 0.1063
1.16950 0.1103
1.17000 0.1175
1.17050 0.1212
1.17100 0.1261
1.17150 0.1332
1.17200 0.1368
1.17250 0.1399
1.17300 0.1445
1.17350 0.1485
1.17400 0.1445
1.17450 0.1552
1.17500 0.1591
1.17550 0.1572
1.17600 0.164
1.17650 0.1656
1.17700 0.1673
1.17750 0.1613
1.17800 0.1672
1.17850 0.1671
1.17900 0.1718
1.17950 0.166
1.18000 0.1716
1.18050 0.1734
1.18100 0.1729
1.18150 0.1713
1.18200 0.1607
1.18250 0.1729
1.18300 0.1748
1.18350 0.1751
1.18400 0.1747
1.18450 0.1708
1.18500 0.1688
1.18550 0.1762
1.18600 0.1758
1.18650 0.1751
1.18700 0.1755
1.18750 0.1719
1.18800 0.1724
1.18850 0.1718
1.18900 0.1764
1.18950 0.1772
1.19000 0.1777
1.19050 0.1769
1.19100 0.1761
1.19150 0.1783
1.19200 0.1768
1.19250 0.1784
1.19300 0.1785
1.19350 0.1724
1.19400 0.1786
1.19450 0.1772
1.19500 0.1767
1.19550 0.1764
1.19600 0.1777
1.19650 0.1768
1.19700 0.1777
1.19750 0.1737
1.19800 0.1779
1.19850 0.1759
1.19900 0.1727
1.19950 0.1768
1.20000 0.1764
1.20050 0.1763
1.20100 0.1755
1.20150 0.1758
1.20200 0.1736
1.20250 0.1768
1.20300 0.1767
1.20350 0.1729
1.20400 0.1683
1.20450 0.1755
1.20500 0.1707
1.20550 0.1777
1.20600 0.1781
1.20650 0.1757
1.20700 0.1765
1.20750 0.1765
1.20800 0.1774
1.20850 0.1791
1.20900 0.1778
1.20950 0.1808
1.21000 0.1787
1.21050 0.1827
1.21100 0.1829
1.21150 0.1805
1.21200 0.1837
1.21250 0.1836
1.21300 0.1859
1.21350 0.1872
1.21400 0.1859
1.21450 0.1872
1.21500 0.1873
1.21550 0.1882
1.21600 0.1908
1.21650 0.1908
1.21700 0.1906
1.21750 0.1928
1.21800 0.1916
1.21850 0.1921
1.21900 0.1915
1.21950 0.1927
1.22000 0.1939
1.22050 0.1945
1.22100 0.1954
1.22150 0.1938
1.22200 0.1946
1.22250 0.1941
1.22300 0.1952
1.22350 0.1947
1.22400 0.1953
1.22450 0.1951
1.22500 0.1954
1.22550 0.1947
1.22600 0.1949
1.22650 0.1949
1.22700 0.1929
1.22750 0.1941
1.22800 0.194
1.22850 0.1939
