# The bandpass is included by SGJY in MPE on 2019-05-20.
# Wavelength RSR
1.96050 0.0044
1.96100 0.0033
1.96150 0.0041
1.96200 0.0039
1.96250 0.0047
1.96300 0.0042
1.96350 0.0034
1.96400 0.0032
1.96450 0.0038
1.96500 0.0053
1.96550 0.0046
1.96600 0.0035
1.96650 0.0047
1.96700 0.0061
1.96750 0.0052
1.96800 0.004
1.96850 0.0061
1.96900 0.0065
1.96950 0.0053
1.97000 0.006
1.97050 0.0073
1.97100 0.0059
1.97150 0.0053
1.97200 0.0072
1.97250 0.0071
1.97300 0.007
1.97350 0.0083
1.97400 0.0073
1.97450 0.0077
1.97500 0.009
1.97550 0.0086
1.97600 0.0084
1.97650 0.0096
1.97700 0.0094
1.97750 0.0096
1.97800 0.01
1.97850 0.01
1.97900 0.0106
1.97950 0.0102
1.98000 0.0083
1.98050 0.0092
1.98100 0.0114
1.98150 0.0118
1.98200 0.012
1.98250 0.0122
1.98300 0.0118
1.98350 0.0128
1.98400 0.0131
1.98450 0.0133
1.98500 0.0133
1.98550 0.0136
1.98600 0.0142
1.98650 0.0144
1.98700 0.0111
1.98750 0.0149
1.98800 0.0154
1.98850 0.0158
1.98900 0.0162
1.98950 0.0165
1.99000 0.0151
1.99050 0.0163
1.99100 0.0175
1.99150 0.0182
1.99200 0.0185
1.99250 0.0189
1.99300 0.0194
1.99350 0.0198
1.99400 0.0193
1.99450 0.0203
1.99500 0.0211
1.99550 0.0206
1.99600 0.0212
1.99650 0.0209
1.99700 0.0203
1.99750 0.0202
1.99800 0.0181
1.99850 0.0186
1.99900 0.0171
1.99950 0.0171
2.00000 0.0182
2.00050 0.0164
2.00100 0.0139
2.00150 0.0118
2.00200 0.0117
2.00250 0.0106
2.00300 0.0085
2.00350 0.0103
2.00400 0.0102
2.00450 0.0095
2.00500 0.0116
2.00550 0.0129
2.00600 0.0171
2.00650 0.0208
2.00700 0.0221
2.00750 0.0197
2.00800 0.0179
2.00850 0.0259
2.00900 0.0365
2.00950 0.0242
2.01000 0.0261
2.01050 0.0322
2.01100 0.023
2.01150 0.0178
2.01200 0.0279
2.01250 0.0331
2.01300 0.0229
2.01350 0.0197
2.01400 0.0373
2.01450 0.0325
2.01500 0.0191
2.01550 0.0427
2.01600 0.0386
2.01650 0.0246
2.01700 0.047
2.01750 0.0406
2.01800 0.0321
2.01850 0.0583
2.01900 0.0402
2.01950 0.0562
2.02000 0.063
2.02050 0.0468
2.02100 0.0741
2.02150 0.059
2.02200 0.0687
2.02250 0.0843
2.02300 0.0668
2.02350 0.089
2.02400 0.0739
2.02450 0.0922
2.02500 0.0918
2.02550 0.0963
2.02600 0.1022
2.02650 0.0989
