# The bandpass is included by SGJY in MPE on 2019-05-20.
# Wavelength RSR
0.96350 0.0044
0.96400 0.0044
0.96450 0.0053
0.96500 0.0058
0.96550 0.0067
0.96600 0.0074
0.96650 0.0077
0.96700 0.0091
0.96750 0.0103
0.96800 0.0116
0.96850 0.0127
0.96900 0.0145
0.96950 0.0162
0.97000 0.0181
0.97050 0.0199
0.97100 0.0228
0.97150 0.0256
0.97200 0.0283
0.97250 0.0314
0.97300 0.0354
0.97350 0.0392
0.97400 0.0422
0.97450 0.047
0.97500 0.0525
0.97550 0.0578
0.97600 0.0616
0.97650 0.0679
0.97700 0.0752
0.97750 0.0812
0.97800 0.0867
0.97850 0.0903
0.97900 0.0983
0.97950 0.1011
0.98000 0.1088
0.98050 0.1111
0.98100 0.1181
0.98150 0.1216
0.98200 0.125
0.98250 0.1278
0.98300 0.1306
0.98350 0.1332
0.98400 0.136
0.98450 0.1373
0.98500 0.1389
0.98550 0.1409
0.98600 0.1422
0.98650 0.1434
0.98700 0.1442
0.98750 0.1451
0.98800 0.1463
0.98850 0.1474
0.98900 0.1483
0.98950 0.1491
0.99000 0.15
0.99050 0.1512
0.99100 0.1522
0.99150 0.1532
0.99200 0.1543
0.99250 0.1554
0.99300 0.1562
0.99350 0.1576
0.99400 0.1588
0.99450 0.1599
0.99500 0.1611
0.99550 0.1622
0.99600 0.1634
0.99650 0.1646
0.99700 0.1656
0.99750 0.1668
0.99800 0.1677
0.99850 0.1688
0.99900 0.1697
0.99950 0.1705
1.00000 0.1714
1.00050 0.1723
1.00100 0.173
1.00150 0.1736
1.00200 0.1739
1.00250 0.1747
1.00300 0.1753
1.00350 0.1757
1.00400 0.1759
1.00450 0.1763
1.00500 0.1766
1.00550 0.1768
1.00600 0.177
1.00650 0.1771
1.00700 0.1772
1.00750 0.1773
1.00800 0.1772
1.00850 0.1773
1.00900 0.1772
1.00950 0.177
1.01000 0.1772
1.01050 0.1772
1.01100 0.1771
1.01150 0.1771
1.01200 0.1769
1.01250 0.1769
1.01300 0.1769
1.01350 0.1768
1.01400 0.1768
1.01450 0.1767
1.01500 0.1767
1.01550 0.1766
1.01600 0.1767
1.01650 0.1767
1.01700 0.1767
1.01750 0.1767
1.01800 0.1768
1.01850 0.1769
1.01900 0.1769
1.01950 0.1768
1.02000 0.1771
1.02050 0.1771
1.02100 0.1773
1.02150 0.1774
1.02200 0.1775
1.02250 0.1776
1.02300 0.1777
1.02350 0.1778
1.02400 0.1778
1.02450 0.1781
1.02500 0.1783
1.02550 0.1784
1.02600 0.1785
1.02650 0.1787
1.02700 0.1788
1.02750 0.1788
1.02800 0.1791
1.02850 0.1792
1.02900 0.1793
1.02950 0.1794
1.03000 0.1795
1.03050 0.1797
1.03100 0.1798
1.03150 0.1799
1.03200 0.1801
1.03250 0.1802
1.03300 0.1803
1.03350 0.1804
1.03400 0.1805
1.03450 0.1807
1.03500 0.1808
1.03550 0.1809
1.03600 0.1811
1.03650 0.1812
1.03700 0.1813
1.03750 0.1815
1.03800 0.1816
1.03850 0.1818
1.03900 0.1819
1.03950 0.1821
1.04000 0.1822
1.04050 0.1824
1.04100 0.1826
1.04150 0.1827
1.04200 0.1829
1.04250 0.1831
1.04300 0.1832
1.04350 0.1834
1.04400 0.1835
1.04450 0.1837
1.04500 0.1838
1.04550 0.184
1.04600 0.1841
1.04650 0.1842
1.04700 0.1844
1.04750 0.1845
1.04800 0.1846
1.04850 0.1846
1.04900 0.1847
1.04950 0.1847
1.05000 0.1847
1.05050 0.1848
1.05100 0.1849
1.05150 0.1848
1.05200 0.1848
1.05250 0.1848
1.05300 0.1848
1.05350 0.1847
1.05400 0.1847
1.05450 0.1846
1.05500 0.1845
1.05550 0.1845
1.05600 0.1844
1.05650 0.1843
1.05700 0.1842
1.05750 0.1841
1.05800 0.1841
1.05850 0.184
1.05900 0.1839
1.05950 0.1839
1.06000 0.1839
1.06050 0.1839
1.06100 0.1839
1.06150 0.184
1.06200 0.184
1.06250 0.1841
1.06300 0.1842
1.06350 0.1843
1.06400 0.1844
1.06450 0.1846
1.06500 0.1848
1.06550 0.185
1.06600 0.1852
1.06650 0.1854
1.06700 0.1856
1.06750 0.1857
1.06800 0.1856
1.06850 0.1859
1.06900 0.186
1.06950 0.1858
1.07000 0.1856
1.07050 0.1854
1.07100 0.1848
1.07150 0.1841
1.07200 0.183
1.07250 0.1819
1.07300 0.1803
1.07350 0.1787
1.07400 0.1762
1.07450 0.1734
1.07500 0.1704
1.07550 0.1674
1.07600 0.1634
1.07650 0.1592
1.07700 0.1544
1.07750 0.1486
1.07800 0.1441
1.07850 0.1386
1.07900 0.1326
1.07950 0.1263
1.08000 0.1197
1.08050 0.1133
1.08100 0.1069
1.08150 0.1002
1.08200 0.0943
1.08250 0.0884
1.08300 0.0826
1.08350 0.076
1.08400 0.0712
1.08450 0.0658
1.08500 0.0612
1.08550 0.0565
1.08600 0.0518
1.08650 0.0477
1.08700 0.0441
1.08750 0.0406
1.08800 0.0374
1.08850 0.0344
1.08900 0.0316
1.08950 0.029
1.09000 0.0268
1.09050 0.0244
1.09100 0.0227
1.09150 0.021
1.09200 0.0193
1.09250 0.0175
1.09300 0.0163
1.09350 0.0151
1.09400 0.0139
1.09450 0.0128
1.09500 0.0118
1.09550 0.011
1.09600 0.01
1.09650 0.0094
1.09700 0.0088
1.09750 0.0081
1.09800 0.0075
1.09850 0.007
1.09900 0.0065
1.09950 0.006
1.10000 0.0056
1.10050 0.0052
1.10100 0.0048
1.10150 0.0046
1.10200 0.0042
1.10250 0.004
