# Mon Apr  9 11:23:52 2018
# wavelength (micron), normalized flux (in Jy)
       5.018000       4.06E-02
       5.077000       4.59E-02
       5.136000       5.50E-02
       5.196000       7.30E-02
       5.257000       9.77E-02
       5.318000       9.27E-02
       5.380000       7.89E-02
       5.443000       7.72E-02
       5.507000       8.56E-02
       5.571000       1.07E-01
       5.636000       1.49E-01
       5.702000       1.92E-01
       5.769000       1.74E-01
       5.836000       1.59E-01
       5.904000       1.75E-01
       5.973000       2.25E-01
       6.043000       3.38E-01
       6.114000       6.11E-01
       6.185000       1.18E+00
       6.257000       1.21E+00
       6.331000       6.86E-01
       6.404000       4.48E-01
       6.479000       3.71E-01
       6.555000       3.66E-01
       6.632000       3.91E-01
       6.709000       4.10E-01
       6.787000       4.09E-01
       6.867000       4.08E-01
       6.947000       4.24E-01
       7.028000       4.66E-01
       7.110000       5.35E-01
       7.193000       6.36E-01
       7.277000       7.78E-01
       7.362000       9.83E-01
       7.449000       1.30E+00
       7.536000       1.77E+00
       7.624000       2.06E+00
       7.713000       2.02E+00
       7.803000       2.01E+00
       7.894000       1.85E+00
       7.986000       1.45E+00
       8.079000       1.10E+00
       8.174000       9.00E-01
       8.269000       8.16E-01
       8.366000       8.04E-01
       8.464000       8.77E-01
       8.563000       1.05E+00
       8.663000       1.00E+00
       8.764000       7.19E-01
       8.866000       5.25E-01
       8.970000       4.19E-01
       9.075000       3.60E-01
       9.181000       3.23E-01
       9.288000       3.00E-01
       9.397000       2.85E-01
       9.506000       2.75E-01
       9.617000       2.69E-01
       9.730000       2.67E-01
       9.844000       2.68E-01
       9.959000       2.72E-01
      10.075000       2.78E-01
      10.193000       2.88E-01
      10.312000       3.03E-01
      10.432000       3.24E-01
      10.554000       3.56E-01
      10.677000       4.09E-01
      10.802000       4.77E-01
      10.928000       6.18E-01
      11.056000       9.65E-01
      11.185000       2.31E+00
      11.316000       2.52E+00
      11.448000       1.70E+00
      11.582000       1.13E+00
      11.717000       9.89E-01
      11.854000       1.08E+00
      11.993000       1.19E+00
      12.133000       1.12E+00
      12.275000       1.08E+00
      12.418000       1.24E+00
      12.563000       1.53E+00
      12.710000       1.46E+00
      12.858000       1.12E+00
      13.009000       8.95E-01
      13.161000       8.15E-01
      13.314000       8.42E-01
      13.470000       8.93E-01
      13.627000       8.12E-01
      13.787000       7.11E-01
      13.948000       6.71E-01
      14.111000       6.98E-01
      14.276000       6.83E-01
      14.442000       6.23E-01
      14.611000       6.02E-01
      14.782000       5.97E-01
      14.954000       5.98E-01
      15.129000       6.02E-01
      15.306000       6.10E-01
      15.485000       6.20E-01
      15.666000       6.37E-01
      15.849000       6.66E-01
      16.034000       6.92E-01
      16.221000       7.58E-01
      16.411000       1.03E+00
      16.603000       9.16E-01
      16.797000       9.12E-01
      16.993000       9.55E-01
      17.191000       9.49E-01
      17.392000       9.47E-01
      17.596000       8.03E-01
      17.801000       7.64E-01
      18.009000       7.09E-01
      18.220000       6.65E-01
      18.432000       6.44E-01
      18.648000       6.39E-01
      18.866000       6.68E-01
      19.086000       6.31E-01
      19.309000       5.96E-01
      19.535000       5.80E-01
      19.763000       5.70E-01
      19.994000       5.60E-01
      20.228000       5.52E-01
      20.464000       5.44E-01
      20.703000       5.36E-01
      20.945000       5.29E-01
      21.190000       5.22E-01
      21.437000       5.15E-01
      21.688000       5.08E-01
      21.941000       5.01E-01
      22.197000       4.95E-01
      22.457000       4.88E-01
      22.719000       4.82E-01
      22.985000       4.75E-01
      23.253000       4.70E-01
      23.525000       4.63E-01
      23.800000       4.58E-01
      24.078000       4.52E-01
      24.359000       4.46E-01
      24.644000       4.41E-01
      24.932000       4.35E-01
      25.223000       4.30E-01
      25.518000       4.25E-01
      25.816000       4.20E-01
      26.118000       4.15E-01
      26.423000       4.10E-01
      26.732000       4.05E-01
      27.044000       4.01E-01
      27.360000       3.96E-01
      27.680000       3.92E-01
      28.003000       3.87E-01
      28.330000       3.83E-01
      28.661000       3.79E-01
      28.996000       3.75E-01
      29.335000       3.71E-01
      29.678000       3.67E-01
      30.024000       3.64E-01
      30.375000       3.60E-01
      30.730000       3.56E-01
      31.089000       3.53E-01
      31.452000       3.50E-01
      31.820000       3.46E-01
      32.192000       3.43E-01
      32.568000       3.40E-01
      32.948000       3.37E-01
      33.333000       3.33E-01
      33.723000       3.30E-01
      34.117000       3.27E-01
      34.516000       3.24E-01
      34.919000       3.21E-01
      35.327000       3.18E-01
      35.740000       3.15E-01
      36.157000       3.13E-01
      36.580000       3.10E-01
      37.007000       3.07E-01
      37.440000       3.05E-01
      37.877000       3.02E-01
      38.320000       3.00E-01
      38.767000       2.97E-01
      39.220000       2.94E-01
      39.679000       2.91E-01
      40.142000       2.88E-01
      40.611000       2.85E-01
      41.086000       2.83E-01
      41.566000       2.80E-01
      42.051000       2.78E-01
      42.543000       2.75E-01
      43.040000       2.73E-01
      43.543000       2.71E-01
      44.052000       2.68E-01
      44.566000       2.66E-01
      45.087000       2.64E-01
      45.614000       2.61E-01
      46.147000       2.59E-01
      46.686000       2.56E-01
      47.232000       2.53E-01
      47.783000       2.51E-01
      48.342000       2.48E-01
      48.907000       2.45E-01
      49.478000       2.42E-01
