\ N0=10.79
\ Y=18.03
\ i=54.45
\ q=1.917
\ sigma=42.44
\ tv=187.9
\ This is a dust torus emission obtained from the median parameter values of
\ best-fit CLUMPY models of PG quasars.
\ The wavelength is in the unit micron and the flux density (fnu) is normalised
\ to be integrated as 1.
\ The template is generated by SGJY at Mon May 29 20:35:29 2017 in KIAA-PKU.
|    wavelength|             flux|
|        double|           double|
|              |                 |
|          null|             null|
            0.1 3.37602545856e-18 
 0.100926219099 3.41388191422e-18 
 0.101861017016 3.45252649134e-18 
 0.102804473209 3.49196127367e-18 
 0.103756667875 3.53223441904e-18 
 0.104717681949 3.57334870579e-18 
 0.105687597118 3.61532242463e-18 
 0.106666495828 3.65817456087e-18 
 0.107654461284 3.70195743983e-18 
 0.108651577465 3.74667592362e-18 
 0.109657929127 3.79235084975e-18 
  0.11067360181 3.83900398186e-18 
 0.111698681847 3.88667514278e-18 
 0.112733256371 3.93540438685e-18 
 0.113777413322 3.98518245295e-18 
 0.114831241454  4.0360862084e-18 
 0.115894830344 4.08808925899e-18 
 0.116968270397 4.14127171343e-18 
 0.118051652857 4.19566135508e-18 
 0.119145069812 4.25125077506e-18 
 0.120248614204 4.30812610178e-18 
 0.121362379834 4.36627946329e-18 
 0.122486461375 4.42578170718e-18 
 0.123620954374 4.45814562309e-18 
 0.124765955263 4.46720068484e-18 
 0.125921561369 4.47637197366e-18 
  0.12708787092 4.48564143037e-18 
 0.128264983053 4.49502850333e-18 
 0.129452997823 4.50451420724e-18 
 0.130652016212  4.5140994682e-18 
 0.131862140139 4.52380466069e-18 
 0.133083472465 4.53362932165e-18 
 0.134316117005   4.543556318e-18 
 0.135560178533 4.55358472364e-18 
 0.136815762797 4.56373537609e-18 
 0.138082976522 4.57400873839e-18 
 0.139361927422 4.58440619973e-18 
 0.140652724211 4.59492822315e-18 
 0.141955476605 4.60555536031e-18 
 0.143270295341 4.61630798566e-18 
 0.144597292179 4.62718795144e-18 
 0.145936579916 4.63819479459e-18 
 0.147288272391 4.64933036732e-18 
   0.1486524845 4.66061550717e-18 
 0.150029332202 4.67200992826e-18 
  0.15141893253 4.66696493221e-18 
 0.152821403603 4.62340941378e-18 
  0.15423686463 4.57985806286e-18 
 0.155665435927 4.53631828834e-18 
 0.157107238925 4.49279796217e-18 
 0.158562396177 4.44930449326e-18 
 0.160031031374 4.40582584214e-18 
  0.16151326935 4.36236895465e-18 
 0.163009236098 4.31896207723e-18 
 0.164519058775 4.27557372204e-18 
 0.166042865719 4.23223074636e-18 
 0.167580786453 4.18894102212e-18 
 0.169132951703 4.14567491374e-18 
 0.170699493404 4.10247780072e-18 
 0.172280544713 4.05933810666e-18 
 0.173876240022 4.01626416656e-18 
 0.175486714965 3.97324625624e-18 
 0.177112106435 3.93030891769e-18 
  0.17875255259 3.88742621975e-18 
 0.180408192872  3.8446227044e-18 
  0.18207916801 3.80190647513e-18 
 0.183765620039 3.75928517235e-18 
 0.185467692308 3.73396132963e-18 
 0.187185529497 3.75453305927e-18 
 0.188919277621 3.77541688872e-18 
 0.190669084051 3.79661675394e-18 
 0.192435097523 3.81812038395e-18 
 0.194217468149 3.83994815322e-18 
 0.196016347432 3.86210469231e-18 
 0.197831888278 3.88460991264e-18 
 0.199664245011  3.9074357993e-18 
 0.201513573382 3.93061962832e-18 
 0.203380030585 3.95416695636e-18 
 0.205263775271 3.97806528092e-18 
  0.20716496756 4.00233636563e-18 
 0.209083769056 4.02696770797e-18 
 0.211020342857 4.05200005688e-18 
 0.212974853575  4.0774023876e-18 
 0.214947467344 4.10321637518e-18 
 0.216938351839 4.12942998016e-18 
 0.218947676286  4.1560658923e-18 
  0.22097561148 4.18311299823e-18 
 0.223022329797 4.21059491383e-18 
  0.22508800521 4.23849959964e-18 
 0.227172813303 4.26790041966e-18 
 0.229276931287 4.30935597874e-18 
 0.231400538013 4.35161540319e-18 
 0.233543813991  4.3946944369e-18 
   0.2357069414 4.43860928686e-18 
 0.237890104108 4.48335671165e-18 
 0.240093487686 4.52899274107e-18 
 0.242317279424 4.57551552289e-18 
 0.244561668345 4.62294265325e-18 
 0.246826845226 4.67133247721e-18 
 0.249113002607 4.72066508336e-18 
 0.251420334814 4.77097936841e-18 
 0.253749037973 4.82231654435e-18 
 0.256099310026 4.87469930093e-18 
 0.258471350747 4.92812671204e-18 
 0.260865361762 4.98264276801e-18 
 0.263281546565 5.03827154775e-18 
 0.265720110532 5.09505750464e-18 
 0.268181260945 5.15300434314e-18 
 0.270665207003 5.21215975803e-18 
 0.273172159844 5.27257283324e-18 
 0.275702332561 5.33422504653e-18 
 0.278255940221 5.39719094994e-18 
 0.280833199882 5.43479666073e-18 
 0.283434330615 5.46200352102e-18 
 0.286059553518 5.48963546679e-18 
 0.288709091736 5.51762581797e-18 
 0.291383170483 5.54605005271e-18 
 0.294082017059 5.57486649595e-18 
 0.296805860867 5.60412793608e-18 
 0.299554933436 5.63379038279e-18 
 0.302329468441 5.66390801362e-18 
 0.305129701718 5.69443730132e-18 
 0.307955871291 5.72543196038e-18 
 0.310808217387 5.75689939971e-18 
 0.313686982457 5.78881970789e-18 
 0.316592411198 5.82122298356e-18 
 0.319524750576 5.85409070449e-18 
 0.322484249841 5.88748028962e-18 
 0.325471160553 5.92134635947e-18 
 0.328485736603  5.9557208649e-18 
 0.331528234232 5.99063714595e-18 
 0.334598912055 6.02607621731e-18 
 0.337698031083 6.06207049293e-18 
 0.340825854742 6.09860098749e-18 
 0.343982648902 6.13675310446e-18 
 0.347168681893 6.17785674092e-18 
 0.350384224529 6.21964523733e-18 
 0.353629550136 6.26210146061e-18 
 0.356904934568 6.30526291831e-18 
 0.360210656236 6.34908423094e-18 
 0.363546996129 6.39365939886e-18 
  0.36691423784  6.4389430426e-18 
 0.370312667587 6.48497498498e-18 
 0.373742574239 6.53176633933e-18 
 0.377204249342  6.5793578546e-18 
  0.38069798714 6.62770276212e-18 
 0.384224084606 6.67687283558e-18 
 0.387782841459 6.72688011445e-18 
 0.391374560198 6.77770839175e-18 
 0.394999546122 6.82943083035e-18 
 0.398658107358 6.88200112465e-18 
 0.402350554887 6.93546326497e-18 
  0.40607720257  6.9898626308e-18 
 0.409838367176  7.0451839413e-18 
 0.413634368406 7.10147350207e-18 
 0.417465528925 7.15874705702e-18 
 0.421332174385 7.21695783749e-18 
 0.425234633453 7.27554600867e-18 
 0.429173237842  7.3351575338e-18 
 0.433148322338  7.3958090829e-18 
 0.437160224825 7.45752010431e-18 
 0.441209286319 7.52034014506e-18 
 0.445295850994 7.58428772737e-18 
 0.449420266212 7.64935127484e-18 
 0.453582882551 7.71561737897e-18 
 0.457784053838 7.78307168501e-18 
 0.462024137175 7.85173641966e-18 
 0.466303492974 7.92163380961e-18 
 0.470622484984 7.99285461385e-18 
 0.474981480323   8.065354379e-18 
 0.479380849509 8.13918959789e-18 
 0.483820966493 8.21438712779e-18 
 0.488302208688 8.29100716598e-18 
 0.492824957004 8.36907656972e-18 
 0.497389595879 8.44858793011e-18 
 0.501996513311 8.52960144444e-18 
 0.506646100892 8.61215045275e-18 
 0.511338753841 8.69629885678e-18 
 0.516074871039 8.78204109985e-18 
 0.520854855058 8.86356675421e-18 
 0.525679112202 8.94518224145e-18 
 0.530548052537 9.02830173485e-18 
 0.535462089927 9.11295301779e-18 
 0.540421642071 9.19924814983e-18 
 0.545427130533 9.28713526868e-18 
 0.550478980785 9.37466676047e-18 
  0.55557762224 9.44400848311e-18 
 0.560723488285 9.51457359994e-18 
 0.565917016325 9.58629728309e-18 
 0.571158647813 9.65924065596e-18 
 0.576448828293 9.73337963965e-18 
 0.581788007434 9.80882073705e-18 
 0.587176639073 9.88558432263e-18 
 0.592615181248 9.96360464243e-18 
 0.598104096238 1.00430354311e-17 
 0.603643850608 1.01238090823e-17 
  0.60923491524 1.02059515274e-17 
 0.614877765381 1.02895729736e-17 
 0.620572880678 1.03746993521e-17 
  0.62632074522 1.04612667611e-17 
 0.632121847581 1.05493881863e-17 
 0.637976680861 1.06411973902e-17 
 0.643885742724 1.07366804811e-17 
 0.649849535447 1.08339722691e-17 
 0.655868565957 1.09330097784e-17 
 0.661943345877  1.1033922665e-17 
  0.66807439157 1.11366951848e-17 
 0.674262224178 1.12413634561e-17 
 0.680507369674 1.13480617654e-17 
   0.6868103589 1.14567289891e-17 
 0.693171727616  1.1567453108e-17 
 0.699592016544 1.16803239549e-17 
 0.706071771414 1.17953322687e-17 
 0.712611543011 1.19125715866e-17 
 0.719211887222 1.20320335738e-17 
 0.725873365082 1.21538673343e-17 
 0.732596542822 1.22780673114e-17 
 0.739381991918 1.24046798106e-17 
 0.746230289139 1.25338094828e-17 
 0.753142016597 1.26655063378e-17 
 0.760117761796 1.27998250165e-17 
 0.767158117678 1.29368173809e-17 
 0.774263682681  1.3076538998e-17 
 0.781435060784 1.32365915555e-17 
 0.788672861561 1.34715332476e-17 
 0.795977700231 1.37128715964e-17 
 0.803350197712 1.39608029377e-17 
 0.810790980673 1.42155893614e-17 
 0.818300681587 1.44775049965e-17 
 0.825879938784 1.47467063561e-17 
  0.83352939651 1.50234221898e-17 
 0.841249704974 1.53080173859e-17 
 0.849041520409 1.56007447729e-17 
 0.856905505127 1.59017942039e-17 
 0.864842327573  1.6211571316e-17 
 0.872852662385 1.65303594996e-17 
 0.880937190447  1.6858377317e-17 
 0.889096598953  1.7196076711e-17 
 0.897331581458 1.75437762642e-17 
